date,day,日,曜,col,客数,売上,祝祭日,祝祭日前日,振替休日,
2021/8/26 0:00,26,26,木,曇時々雨、雷を伴う,,,0,0,0,
2021/8/27 0:00,27,27,金,晴,,,0,0,0,
2021/8/28 0:00,28,28,土,晴,,,0,0,0,
2021/8/29 0:00,29,29,日,晴,,,0,0,0,
2021/8/30 0:00,30,30,月,晴後一時曇,,,0,0,0,
2021/8/31 0:00,31,31,火,晴,,,0,0,0,
2021/9/1 0:00,1,1,水,曇時々晴,,,0,0,0,
2021/9/2 0:00,2,2,木,曇時々雨、雷を伴う,,,0,0,0,
2021/9/3 0:00,3,3,金,曇時々雨、雷を伴う,,,0,0,0,
2021/9/4 0:00,4,4,土,晴時々曇,,,0,0,0,
2021/9/5 0:00,5,5,日,曇時々雨,,,0,0,0,
2021/9/6 0:00,6,6,月,晴時々曇,,,0,0,0,
2021/9/7 0:00,7,7,火,曇後時々雨,,,0,0,0,
2021/9/8 0:00,8,8,水,雨時々曇後晴,,,0,0,0,
2021/9/9 0:00,9,9,木,晴,,,0,0,0,
2021/9/10 0:00,10,10,金,曇一時晴後時々雨,,,0,0,0,
2021/9/11 0:00,11,11,土,雨時々曇,,,0,0,0,
2021/9/12 0:00,12,12,日,曇,,,0,0,0,
2021/9/13 0:00,13,13,月,雨,411,437420,0,0,0,
2021/9/14 0:00,14,14,火,雨,347,341675,0,0,0,
2021/9/15 0:00,15,15,水,曇時々晴,402,389615,0,0,0,
2021/9/16 0:00,16,16,木,晴時々曇,409,382655,0,0,0,
2021/9/17 0:00,17,17,金,雨時々曇、大風を伴う,185,171830,0,0,0,
2021/9/18 0:00,18,18,土,曇一時雨後晴,531,583960,0,0,0,
2021/9/19 0:00,19,19,日,晴,912,973705,0,1,0,
2021/9/20 0:00,20,20,月,晴,813,845700,1,0,0,
2021/9/21 0:00,21,21,火,晴時々曇,455,464400,0,0,0,
2021/9/22 0:00,22,22,水,晴,441,396160,0,1,0,
2021/9/23 0:00,23,23,木,晴時々曇,776,773300,1,0,0,
2021/9/24 0:00,24,24,金,晴後曇,448,438125,0,0,0,
2021/9/25 0:00,25,25,土,曇時々晴,575,583905,0,0,0,
2021/9/26 0:00,26,26,日,晴時々曇,811,775625,0,0,0,
2021/9/27 0:00,27,27,月,晴時々曇,386,357985,0,0,0,
2021/9/28 0:00,28,28,火,曇時々晴,368,324300,0,0,0,
2021/9/29 0:00,29,29,水,晴後一時曇,424,384475,0,0,0,
2021/9/30 0:00,30,30,木,晴後曇時々雨,373,370145,0,0,0,
2021/10/1 0:00,1,1,金,晴時々雨一時曇,375,351985,0,0,0,
2021/10/2 0:00,2,2,土,晴,627,610000,0,0,0,
2021/10/3 0:00,3,3,日,晴,876,833815,0,0,0,
2021/10/4 0:00,4,4,月,晴,401,350650,0,0,0,
2021/10/5 0:00,5,5,火,晴,388,350135,0,0,0,
2021/10/6 0:00,6,6,水,晴,445,414815,0,0,0,
2021/10/7 0:00,7,7,木,晴,411,393550,0,0,0,
2021/10/8 0:00,8,8,金,曇時々晴,440,417165,0,0,0,
2021/10/9 0:00,9,9,土,晴,739,685770,0,0,0,
2021/10/10 0:00,10,10,日,晴後一時曇,824,720470,0,0,0,
2021/10/11 0:00,11,11,月,曇時々晴,396,349995,0,0,0,
2021/10/12 0:00,12,12,火,曇後時々雨,374,355560,0,0,0,
2021/10/13 0:00,13,13,水,曇時々晴,389,327295,0,0,0,
2021/10/14 0:00,14,14,木,晴,443,393475,0,0,0,
2021/10/15 0:00,15,15,金,晴,438,395740,0,0,0,
2021/10/16 0:00,16,16,土,曇時々晴後雨,534,572500,0,0,0,
2021/10/17 0:00,17,17,日,雨時々曇後晴,761,815840,0,0,0,
2021/10/18 0:00,18,18,月,晴後時々曇,411,373025,0,0,0,
2021/10/19 0:00,19,19,火,曇後時々晴,408,373580,0,0,0,
2021/10/20 0:00,20,20,水,曇一時雨,426,409195,0,0,0,
2021/10/21 0:00,21,21,木,雨後時々曇,377,361800,0,0,0,
2021/10/22 0:00,22,22,金,曇一時雨後晴,421,394950,0,0,0,
2021/10/23 0:00,23,23,土,晴後一時曇,617,595600,0,0,0,
2021/10/24 0:00,24,24,日,曇時々晴,732,745910,0,0,0,
2021/10/25 0:00,25,25,月,曇後晴,388,370565,0,0,0,
2021/10/26 0:00,26,26,火,晴,342,288810,0,0,0,
2021/10/27 0:00,27,27,水,晴一時曇,418,399260,0,0,0,
2021/10/28 0:00,28,28,木,晴,413,376970,0,0,0,
2021/10/29 0:00,29,29,金,晴後一時曇,471,439570,0,0,0,
2021/10/30 0:00,30,30,土,曇時々雨一時晴,588,627265,0,0,0,
2021/10/31 0:00,31,31,日,晴,784,825275,0,0,0,
2021/11/1 0:00,1,1,月,晴時々曇,381,365130,0,0,0,
2021/11/2 0:00,2,2,火,曇時々晴,435,391745,0,1,0,
2021/11/3 0:00,3,3,水,晴一時雨,752,716845,1,0,0,
2021/11/4 0:00,4,4,木,晴,433,383135,0,0,0,
2021/11/5 0:00,5,5,金,晴後時々曇,477,441425,0,0,0,
2021/11/6 0:00,6,6,土,曇,631,614235,0,0,0,
2021/11/7 0:00,7,7,日,晴,950,938285,0,0,0,
2021/11/8 0:00,8,8,月,曇後時々雨,385,398315,0,0,0,
2021/11/9 0:00,9,9,火,曇時々雨一時晴,452,459950,0,0,0,
2021/11/10 0:00,10,10,水,雨時々曇一時晴、雷を伴う,431,418760,0,0,0,
2021/11/11 0:00,11,11,木,雨時々晴後曇,424,412000,0,0,0,
2021/11/12 0:00,12,12,金,雨後曇時々晴,563,575150,0,0,0,
2021/11/13 0:00,13,13,土,曇時々晴,788,811600,0,0,0,
2021/11/14 0:00,14,14,日,雨時々曇後晴,982,1032270,0,0,0,
2021/11/15 0:00,15,15,月,晴,658,576200,0,0,0,
2021/11/16 0:00,16,16,火,曇時々晴,587,565460,0,0,0,
2021/11/17 0:00,17,17,水,晴後一時曇,653,593930,0,0,0,
2021/11/18 0:00,18,18,木,曇時々晴,602,503110,0,0,0,
2021/11/19 0:00,19,19,金,晴,616,604470,0,0,0,
2021/11/20 0:00,20,20,土,晴,864,882370,0,0,0,
2021/11/21 0:00,21,21,日,曇一時晴後雨,868,938655,0,0,0,
2021/11/22 0:00,22,22,月,雨後曇,458,412250,0,1,0,
2021/11/23 0:00,23,23,火,雨時々曇一時晴,655,632425,1,0,0,
2021/11/24 0:00,24,24,水,曇時々雨一時晴,414,376355,0,0,0,
2021/11/25 0:00,25,25,木,曇一時雨後晴,461,407280,0,0,0,
2021/11/26 0:00,26,26,金,晴,456,399945,0,0,0,
2021/11/27 0:00,27,27,土,晴一時曇,665,694560,0,0,0,
2021/11/28 0:00,28,28,日,晴,801,801025,0,0,0,
2021/11/29 0:00,29,29,月,晴一時曇,461,449680,0,0,0,
2021/11/30 0:00,30,30,火,大雨時々曇、雷を伴う,278,245190,0,0,0,
2021/12/1 0:00,1,1,水,曇時々雨一時晴,284,280305,0,0,0,
